Company Name,Company Information
Ballistic Learning Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Faridabad / Haryana - 121003
Bariza Events & Holidays Pvt Ltd,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110092"
Basic & Beyond Ecommerce Pvt Ltd,"Industry : Food , FMCG , Agriculture, Garment , Textile, E -CommerceSub Industry : FMCG, Readymade GarmentsCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110085"
BatteryBhai.com,"Industry : E -Commerce, Automobile , Auto AncillariesSub Industry : Auto AncillariesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Beebay Kids Apparels Pvt Ltd ( Beebayonline.com ),"Industry : Garment , Textile, E -CommerceSub Industry : Readymade GarmentsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Faridabad / Haryana - 121001"
Beyondinfinite.com,"Industry : Information Technology (IT), E -CommerceSub Industry : IT- HardwareCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110019"
Bonjour Retail,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Greater Noida / Uttar Pradesh - 201307
Bonny Baby Care Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201307
Bookland Noida,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
BookMyForex Pvt Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122018"
BookVistas.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110002
BPI India Pvt Ltd,"Industry : Advertising , Media, E -Commerce, Paper , Publishing , PrintingSub Industry : Newspapers ,  Magazines , Journals, Publication HousesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110044"
