Company Name,Company Information
Flipkart Internet Pvt Ltd,Industry : E -CommerceCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560103
FoodVista India Pvt Ltd ( Freshmenu ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560048
Freshtohome Foods Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560075
Frontfoot Sports Management Pvt  Ltd(Trophykart),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
Fueladream Online Ventures Pvt Ltd (fueladream.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Furlenco,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
GeePee Travels,"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009"
Global IAS Academy,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Institutes - OthersCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095"
Go Green BOV,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560069
Gokaldas Intimatewear Pvt Ltd (Enamor),"Industry : Garment , Textile, E -CommerceSub Industry : Readymade GarmentsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560022"
GrabOnRent Internet Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Groupon India Pvt Ltd (Nearbuy.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001
Growth Enabler India Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560052
Gympik Health Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
Hash Education Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560011
Health Vista Pvt Ltd ( Portea Medical ),"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071"
HealthifyMe,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008
HNG Retail Pvt Ltd ( Zansaar.com ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
Home Interior Designs E-Commerce Pvt Ltd (Livspace),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001
Home Salon Service,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Intrepid Online Retail Pvt Ltd ( Styletag.com ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560052
Intrepid Online Retail Pvt Ltd(Styletag),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560003
Jabbar Travels,"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560002"
"Jack of all Threads, Pvt Ltd",Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045
Juspay Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Just Linen Home Fashions( Just Women),"Industry : Retail, Garment , Textile, E -CommerceSub Industry : Readymade Garments, Apparel StoresCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038"
Kinematic Foodtech Pvt Ltd ( Petoo ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Leisure & Lifestyle Information Services Pvt Ltd ( HolidayIQ.com ),"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008"
LetsVenture Online Pte Ltd,Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560025
Local Cube Commerce Pvt Ltd ( Store King ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560074
Loyalty Solutions & Research Pvt Ltd (Payback ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
